# Header: Project1::Sample_LC steel::All data::Grain Size   11/22/2023
# 
# Partition Formula: 
# Grain Tolerance Angle: 5.00
# Minimum Grain Size: 2
# Minimum Anti-Grain Size: 2
# Minimum Confidence Index: 0.00
# Multiple Rows Requirement: Off
# Anti-Grain Multiple Rows Requirement: Off
# Column 1: Integer identifying grain. Negative value indicates an anti-grain
# Column 2: An integer identifying the phase (-1 for anti-grains)
#           0 -  Iron (Alpha)
# Column 3-5: Average orientation (phi1, PHI, phi2) in degrees (360, 360, 360 for anti-grains)
# Column 6-7: Average Position (x, y) in microns
# Column 8: Average Image Quality (IQ)
# Column 9: Average Confidence Index (CI, -1 for anti-grains)
# Column 10: Average Fit (degrees, 180 for anti-grains or invalid grains)
# Column 11: Edge grain (1 = touching edge, otherwise 0)
# Column 12: Area of grain in square microns
# Column 13: Diameter of grain in microns
# Column 14: Aspect ratio of ellipse fit to grain
# Column 15: Length of major axis (radius) of ellipse fit to grain in microns
# Column 16: Length of minor axis (radius) of ellipse fit to grain in microns
# Column 17: Orientation (relative to the horizontal) of major axis of ellipse fit to grain in degrees
    76   0  282.638  111.007   95.51 8.859231e+02 5.329388e-01 140996.3  0.821  0.89 1 1.125833e+01 3.786100e+00 0.25 3.500000e+00 8.620616e-01 180.0 
    77   0   16.842   90.681  294.92 8.910843e+02 3.338894e+00 131066.3  0.853  0.70 1 7.188010e+01 9.566640e+00 0.48 7.112196e+00 3.416731e+00 156.1 
    78   0  304.433  139.807   48.11 8.991875e+02 9.742786e-01 122275.6  0.871  0.72 1 6.928203e+00 2.970061e+00 0.71 1.802776e+00 1.286284e+00  46.1 
    79   0  109.928  114.996  331.55 4.519794e+01 7.198835e+00 117865.7  0.826  0.58 0 8.313844e+01 1.028859e+01 0.50 7.076958e+00 3.551847e+00  92.0 
    80   0   85.106  144.866   91.93 6.318597e+01 7.779908e+00 121750.1  0.787  0.57 0 1.047891e+02 1.155083e+01 0.62 8.036375e+00 4.982903e+00  98.9 
    81   0  173.189   65.543  316.99 3.945544e+00 5.541707e+01 127274.2  0.820  0.58 1 8.746857e+01 1.055312e+01 0.44 7.588369e+00 3.314057e+00  68.8 
    82   0  116.152  106.251  156.87 7.535715e+00 5.004391e+01 113064.7  0.780  0.77 0 7.274613e+01 9.624098e+00 0.40 7.588369e+00 3.027699e+00  68.8 
    83   0   77.141   58.734  231.86 1.388218e+01 4.163392e+01 124935.4  0.606  0.78 0 3.013768e+02 1.958890e+01 0.48 1.405643e+01 6.716867e+00  84.9 
    84   0   92.490  113.876  259.83 3.230587e+01 4.753483e+01 146494.2  0.808  0.84 0 6.131460e+02 2.794068e+01 0.53 1.853600e+01 9.752831e+00 123.6 
    85   0  161.172   98.417  336.62 5.014285e+01 5.535067e+01 124677.2  0.784  0.64 0 2.000519e+02 1.595976e+01 0.57 1.021437e+01 5.870998e+00  81.6 
    86   0   82.516  138.382    7.82 5.959784e+01 3.896926e+01 122640.7  0.790  0.65 0 3.940416e+02 2.239887e+01 0.52 1.550269e+01 8.094608e+00  99.3 
    87   0   61.230  146.233   89.32 6.313047e+01 5.493617e+01 111725.9  0.814  0.61 0 7.967434e+01 1.007197e+01 0.44 7.571877e+00 3.300334e+00 142.4 
    88   0  300.250   92.794   13.25 7.106525e+01 4.706660e+01 117628.3  0.796  0.77 0 3.983717e+01 7.121956e+00 0.66 4.310840e+00 2.856848e+00  69.6 
    89   0   20.676  135.159   50.89 6.659539e+01 6.725169e+01 127360.2  0.775  0.87 0 5.403998e+02 2.623087e+01 0.42 1.985783e+01 8.412958e+00 109.1 
    90   0  234.148   53.413  225.63 8.427444e+01 2.773523e+01 127026.8  0.800  0.61 0 3.013768e+02 1.958890e+01 0.20 2.379251e+01 4.731501e+00 107.7 
    91   0  349.634   90.394  345.32 9.012370e+01 4.474519e+01 139937.6  0.901  0.59 0 4.659217e+02 2.435631e+01 0.47 1.738774e+01 8.090533e+00 101.6 
    92   0   76.366  113.688  234.32 1.030455e+02 5.398228e+01 118073.0  0.691  0.84 0 8.573651e+01 1.044812e+01 0.49 7.421816e+00 3.650826e+00  72.4 
    93   0  157.828   16.493  328.80 1.129434e+02 5.235369e+01 107261.8  0.819  0.84 0 4.589935e+01 7.644662e+00 0.43 5.773502e+00 2.460731e+00  30.0 
    94   0  110.051   14.625  196.78 1.189283e+02 4.319833e+01 128459.5  0.896  0.60 0 2.113102e+02 1.640270e+01 0.68 9.751069e+00 6.585278e+00  82.6 
    95   0  220.630   45.511  231.93 1.302803e+02 6.205414e+01 115727.4  0.791  0.66 0 4.529313e+02 2.401437e+01 0.55 1.805778e+01 1.000558e+01  70.6 
    96   0   16.258  113.775  308.40 1.487551e+02 5.654316e+01 134536.1  0.936  0.48 0 9.309773e+02 3.442902e+01 0.46 2.546730e+01 1.167014e+01  97.3 
    97   0  279.826  130.894  115.75 1.724546e+02 5.170192e+01 128555.0  0.803  0.66 0 5.603184e+02 2.670992e+01 0.59 1.707581e+01 1.005358e+01 108.8 
    98   0    8.304   85.101  259.02 1.851691e+02 5.098090e+01 122768.3  0.710  0.79 0 5.888972e+01 8.659142e+00 0.50 6.211549e+00 3.123056e+00  92.3 
    99   0   41.339   52.239  210.77 2.025950e+02 4.539577e+01 119550.1  0.807  0.74 0 7.820209e+02 3.155471e+01 0.51 2.139120e+01 1.097267e+01 126.6 
   100   0  335.830  102.763  344.20 2.244212e+02 4.536245e+01 110466.5  0.794  0.57 0 4.832422e+02 2.480490e+01 0.36 2.061755e+01 7.434364e+00  76.7 
   101   0  190.949   73.291  338.15 2.366337e+02 6.203103e+01 136986.8  0.915  0.58 0 5.481941e+02 2.641936e+01 0.36 2.269545e+01 8.195879e+00  86.8 
   102   0  146.816  127.368  326.42 2.425782e+02 5.068956e+01 100793.7  0.762  0.75 0 2.771281e+01 5.940122e+00 0.60 3.685556e+00 2.217753e+00 138.3 
   103   0  201.582  172.462   37.07 2.535968e+02 6.938606e+01 130638.6  0.877  0.53 0 7.716286e+02 3.134435e+01 0.45 2.363437e+01 1.054247e+01  95.5 
   104   0  357.916   48.142  316.77 2.674212e+02 5.471918e+01 125499.5  0.914  0.49 0 2.632717e+02 1.830869e+01 0.59 1.167618e+01 6.904165e+00  70.0 
   105   0  257.960   63.165  213.35 2.814696e+02 6.122401e+01 131091.1  0.859  0.65 0 3.126352e+02 1.995143e+01 0.58 1.269186e+01 7.379985e+00  75.2 
   106   0  104.034   91.464   12.17 2.838334e+02 4.782387e+01 106911.9  0.759  0.73 0 2.338268e+01 5.456350e+00 0.58 3.511886e+00 2.053054e+00  64.7 
   107   0  263.296  140.077   79.30 3.012339e+02 5.418439e+01 142691.7  0.864  0.52 0 4.676537e+02 2.440154e+01 0.72 1.414508e+01 1.019920e+01  68.2 
   108   0  260.741  124.453  244.13 3.141876e+02 4.849745e+01 113867.4  0.668  0.79 0 1.385641e+01 4.200301e+00 0.55 2.843121e+00 1.549743e+00  74.7 
   109   0   16.204  110.451   17.10 3.231360e+02 4.694009e+01 128784.6  0.908  0.63 0 1.974538e+02 1.585579e+01 0.49 1.106044e+01 5.372671e+00 126.0 
   110   0  173.513  145.633  215.23 3.357103e+02 5.882238e+01 128840.9  0.933  0.66 0 4.451371e+02 2.380685e+01 0.44 1.724335e+01 7.632573e+00 110.4 
   111   0  153.481  132.414  315.35 3.543297e+02 5.987110e+01 130993.4  0.819  0.61 0 3.836493e+02 2.210152e+01 0.57 1.414508e+01 8.068483e+00  51.8 
   112   0  336.065   38.983  321.76 3.571039e+02 4.693782e+01 123449.7  0.860  0.59 0 2.000519e+02 1.595976e+01 0.33 1.414508e+01 4.636946e+00   8.2 
   113   0  269.169  124.423  227.70 3.790851e+02 5.266633e+01 132010.6  0.883  0.69 0 3.256255e+02 2.036171e+01 0.48 1.463159e+01 7.058928e+00 166.9 
   114   0  203.466   70.294  232.60 4.021825e+02 4.886943e+01 130721.9  0.917  0.64 0 3.749890e+02 2.185065e+01 0.49 1.521786e+01 7.480865e+00 102.3 
   115   0  103.803   42.650  193.75 4.186505e+02 5.399962e+01 125135.5  0.902  0.63 0 2.156403e+02 1.656991e+01 0.67 9.878426e+00 6.585192e+00 129.2 
   116   0   90.308   80.708   12.34 4.322654e+02 6.553909e+01 131508.5  0.845  0.70 0 3.819172e+02 2.205158e+01 0.24 2.211523e+01 5.290436e+00  80.2 
   117   0  211.892  170.766  244.48 4.328030e+02 4.883861e+01 112619.2  0.791  0.74 0 2.857884e+01 6.032222e+00 0.29 5.795113e+00 1.685217e+00  67.2 
   118   0  189.844   97.768  275.45 4.378064e+02 4.666759e+01 121236.7  0.833  0.77 0 1.073871e+02 1.169314e+01 0.59 7.910964e+00 4.686421e+00 108.4 
   119   0   95.998   78.788  135.57 4.594280e+02 1.292145e+01 110440.2  0.785  0.55 0 3.481422e+02 2.105394e+01 0.55 1.400298e+01 7.771285e+00 118.8 
   120   0  316.687  104.166  350.94 4.500119e+02 5.415140e+01 133674.0  0.871  0.70 0 2.572095e+02 1.809667e+01 0.68 1.077420e+01 7.338333e+00  42.1 
   121   0  203.264   74.246   55.46 4.624922e+02 5.378829e+01 115048.6  0.864  0.66 0 5.542562e+01 8.400601e+00 0.54 5.795113e+00 3.112514e+00  94.9 
   122   0   13.222  159.042  329.96 4.727968e+02 5.608162e+01 114616.6  0.891  0.60 0 2.320948e+02 1.719047e+01 0.57 1.125092e+01 6.375765e+00  77.2 
   123   0   97.923  103.566  159.32 4.748642e+02 4.026683e+01 131975.3  0.906  0.59 0 2.234346e+02 1.686670e+01 0.54 1.106044e+01 5.946868e+00  66.0 
   124   0  180.714  142.683  215.93 4.873665e+02 4.808339e+01 115386.3  0.853  0.66 0 2.173724e+02 1.663632e+01 0.61 1.061053e+01 6.449180e+00  83.2 
   125   0   95.815   82.816   20.73 4.988847e+02 5.920607e+01 120222.6  0.910  0.64 0 3.083050e+02 1.981278e+01 0.43 1.537313e+01 6.533768e+00  95.6 
   126   0  188.839   51.816  311.49 5.086458e+02 4.721848e+01 126591.0  0.919  0.55 0 2.052480e+02 1.616570e+01 0.43 1.249333e+01 5.342430e+00 108.7 
